CityName,iata_code,coordinates,
Aachen,AAH,6.186388969,50.82305527
Aasiaat,JEG,-52.78469849,68.72180176
Aba,AHJ,102.35224,32.53154
Abau,ABW,148.7389,-10.1956
Abbotsford,YXX,-122.3610001,49.02529907
Abengourou,OGO,-3.470279932,6.715559959
Aberdeen,ABZ,-2.197779894,57.20190048
Aberdeen,ABR,-98.42179871,45.44910049
Abidjan,ABJ,-3.926290035,5.261390209
Abilene,ABI,-99.68190002,32.41130066
Aboisso,ABO,-3.234722,5.461944
Abu Dhabi,AYM,54.6103,24.467
Abuja,ABV,7.263169765,9.006790161
Accra,ACC,-0.166786,5.6051898
Ada,ADT,-96.671303,34.804298
Adado,AAD,46.6375,6.095802
Adrian,ADG,-84.07730103,41.86769867
Afton,NRI,-94.86190033,36.57759857
Afton,AFO,-110.9420013,42.71120071
Agadez,AJY,8.000109673,16.9659996
Agevairu,AOA,146.8,-9.0254
Agnew,AGW,142.1490021,-12.14560032
Aiambak,AIH,141.2675,-7.342777778
Aiken,AIK,-81.684998,33.649399
Aiome,AIE,144.7307003,-5.145699978
Aitape,ATP,142.3468056,-3.143611111
Aiyura Valley,AYU,145.9041667,-6.338055556
Aklavik,LAK,-135.00599,68.223297
Akron,AKO,-103.2220001,40.17559814
Akron,AKC,-81.46690369,41.03749847
Akulivik,AKV,-78.14859772,60.8185997
Akure,AKR,5.301010132,7.246739864
Akureyri,AEY,-18.0727005,65.66000366
Alamogordo,ALM,-105.9909973,32.83990097
Albany,ABY,-84.19450378,31.53549957
Albany,ALB,-73.80169678,42.74829865
Albert Lea,AEL,-93.36720276,43.68149948
Albian Village,JHL,-111.4189987,57.22389984
Aleknagik,WKK,-158.6179962,59.2826004
Alenquer,ALT,-54.7231,-1.917
Alert,YLT,-62.2806015,82.51779938
Alert Bay,YAL,-126.9160004,50.5821991
Alexandria,ALY,29.94890022,31.18390083
Alexandria,HBE,29.69639969,30.91769981
Alexandria,AEX,-92.54979706,31.32740021
Alexandria,AXN,-95.3946991,45.86629868
Alexandria Bay,AXB,-75.90034,44.312002
Algeciras,AEI,-5.441118,36.12888
Algiers,ALG,3.215409994,36.69100189
Allentown,ABE,-75.44080353,40.65209961
Alliance,AIA,-102.8040009,42.05319977
Alluitsup Paa,LLU,-45.56917,60.46445
Alma,YTF,-71.64189911,48.50889969
Alma,AMN,-84.68800354,43.32210159
Alpena,APN,-83.56030273,45.0780983
Alroy Downs,AYD,136.0789948,-19.29080009
Altay,AAT,88.0858078,47.74988556
Altenburg,AOC,12.506389,50.981945
Alto Boa Vista,SWM,-51.43470001,-11.67169952
Alto Molocue,AME,37.68138889,-15.61027778
Altoona,AOO,-78.31999969,40.29639816
Altus,AXS,-99.3385,34.697952
Amanab,AMU,141.2143333,-3.586
Amarillo,AMA,-101.706001,35.219398
Ambatolahy,AHY,45.535,-20.01583333
Ambunti,AUJ,142.8231667,-4.215666667
Amchitka Island,AHT,179.2591667,51.37777778
Amityville,AYZ,-73.4,40.71
Amook Bay,AOS,-153.8150024,57.4715004
Amos,YEY,-78.249702,48.563903
Ampara,AFK,81.644,7.284
Amsterdam,AMS,4.76389,52.308601
Anacortes,OTS,-122.662003,48.499
Anahim Lake,YAA,-125.3030014,52.45249939
Andavadoaka,DVD,43.259573,-22.06608
Andekombe,ADC,145.7447222,-7.137222222
Anderson,AID,-85.61299896,40.10860062
Anderson,AND,-82.70939636,34.49459839
Andorra La Vella,ALV,1.533551,42.511174
Angling Lake,YAX,-89.57939911,53.8492012
Angola,ANQ,-85.083504,41.639702
Angoram,AGG,144.0738889,-4.055833333
Angus Downs Station,ANZ,132.2748,-25.0325
Anhua Island,ANH,160.225,-9.001388889
Ann Arbor,ARB,-83.74559784,42.22299957
Annaba,AAE,7.809174,36.822201
Annapolis,ANP,-76.568398,38.942902
Anniston,ANB,-85.8581,33.5882
Anthony,ANY,-98.079597,37.158501
Antwerp,ANR,4.460279942,51.18939972
Anua,BNY,159.7983333,-11.30222222
Apple Valley,APV,-117.185997,34.57529831
April River,APR,142.5401389,-4.676666667
Arauquita,ARQ,-71.388901,7.02106
Arctic Bay,YAB,-85.04250526,73.00576682
Ardmore,AHD,-97.12270355,34.14699936
Ardmore,ADM,-97.0196342,34.30301
