type	name	iata_code	coordinates
heliport	Total Rf Heliport		"-74.93360137939453, 40.07080078125"
small_airport	Aero B Ranch Airport		"-101.473911, 38.704022"
small_airport	Lowell Field		"-151.695999146, 59.94919968"
small_airport	Epps Airpark		"-86.77030181884766, 34.86479949951172"
closed	Newport Hospital & Clinic Heliport		"-91.254898, 35.6087"
small_airport	Fulton Airport		"-97.8180194, 34.9428028"
small_airport	Cordes Airport		"-112.16500091552734, 34.305599212646484"
small_airport	Goldstone /Gts/ Airport		"-116.888000488, 35.350498199499995"
small_airport	Williams Ag Airport		"-121.763427, 39.427188"
heliport	Kitchen Creek Helibase Heliport		"-116.4597417, 32.7273736"
closed	Cass Field		"-104.344002, 40.622202"
small_airport	Grass Patch Airport		"-82.21900177001953, 28.64550018310547"
heliport	Ringhaver Heliport		"-82.34539794921875, 28.846599578857422"
small_airport	River Oak Airport		"-80.96920013427734, 27.230899810791016"
small_airport	Lt World Airport		"-84.06829833984375, 33.76750183105469"
heliport	Caffrey Heliport		"-84.73390197753906, 33.88420104980469"
heliport	Kaupulehu Heliport		"-155.980233, 19.832715"
small_airport	Delta Shores Airport		"-116.21399688720703, 48.145301818847656"
small_airport	Goltl Airport		"-101.395994, 39.724028"
heliport	Bailey Generation Station Heliport		"-87.122802734375, 41.644500732421875"
small_airport	Hammer Airport		"-89.5604019165039, 41.97840118408203"
heliport	St Mary Medical Center Heliport		"-87.2605972290039, 41.51139831542969"
small_airport	Hayenga's Cant Find Farms Airport		"-89.1229019165039, 40.02560043334961"
small_airport	Hayden Farm Airport		"-94.93049621582031, 38.72779846191406"
small_airport	Robbins Roost Airport		"-84.61969757080078, 37.409400939941406"
heliport	Shell Chemical East Site Heliport		"-90.980833, 30.191944"
heliport	Ac & R Components Heliport		"-89.70559692382812, 39.66529846191406"
small_airport	Lejeune Airport		"-92.42939758300781, 30.13629913330078"
small_airport	Slater Field		"-75.75379943847656, 38.75709915161133"
heliport	Dow Chemical Heliport		"-86.41670227050781, 43.94940185546875"
small_airport	Battle Lake Municipal Airport		"-95.70030212402344, 46.29999923706055"
small_airport	Cooper Flying Service Airport		"-94.412399291992, 37.202800750732"
closed	Sands Ranch Airport		"-109.705002, 48.537498"
small_airport	Bucks Airport		"-75.1852035522461, 39.473201751708984"
small_airport	North Raleigh Airport		"-78.37139892578125, 36.085201263427734"
heliport	Colgate-Piscataway Heliport		"-74.47460174560547, 40.52090072631836"
seaplane_base	Cliche Cove Seaplane Base		"-73.3698057, 44.8118612"
small_airport	Weiss Airfield		"-77.49970245361328, 42.90010070800781"
small_airport	Exit 3 Airport		"-84.14219665527344, 41.59090042114258"
heliport	Miami Valley Hospital Heliport		"-84.1874008178711, 39.74530029296875"
small_airport	Gull Bay Landing Airport		"-96.217693, 36.198598"
heliport	Steel Systems Heliport		"-123.12999725341797, 44.932899475097656"
heliport	R J D Heliport		"-75.74690246582031, 39.94889831542969"
small_airport	Ferrell Field		"-80.211111, 41.2995"
closed	Thomas Field		"-77.365303, 40.3778"
small_airport	Mc Kenzie Bridge State Airport		"-122.088996887, 44.183200836199994"
small_airport	Flying O Airport		"-80.26719665527344, 34.0093994140625"
small_airport	Homan Field		"-96.498897, 44.809158"
heliport	Sw Region Faa Heliport		"-97.30580139160156, 32.826900482177734"
